author id,created at,geo,id,lang,tweet,sentiment value
4904522664,2020-03-24 13:29:27+00:00,a3d770a00f15bcb1,1242443413833867269,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
15723081,2020-03-24 12:13:33+00:00,c3f37afa9efcf94b,1242424310737887233,en,Join me and my friends  at 810 am to talk  in Austin and Central Texas ,0.6486
55866304,2020-03-24 10:25:18+00:00,1397b2e09bd96ad9,1242397070029475840,en,ExTexas AampM star guard dies after battling virus via  App ,-0.2732
1167764029,2020-03-24 06:57:26+00:00,79fa65a7f7afb5f5,1242344756002410496,en,Former Texas AampM basketball star David Edwards dies of coronavirus,0.0
1447536360,2020-03-24 05:44:26+00:00,e0060cda70f5f341,1242326387857461249,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
705570954676547585,2020-03-24 05:05:25+00:00,a3d770a00f15bcb1,1242316566538092544,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
2218919155,2020-03-24 00:34:33+00:00,e0060cda70f5f341,1242248402424999938,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
18379262,2020-03-23 23:56:03+00:00,6380c9cbd0357907,1242238713817595904,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
1515785274,2020-03-23 23:36:04+00:00,803089e5de2b8c9b,1242233685774151682,en,Texas AampM University Corpus Christi Offering PassFail Option for TAMUCC Classes Due to COVID19  Sign the Petition  via ,0.0
2331896199,2020-03-23 21:45:03+00:00,a3d770a00f15bcb1,1242205746495971329,en,Yall save my GPA ,0.4939
387576928,2020-03-23 17:53:09+00:00,0146e31a64e9ea64,1242147386853601282,en,And most actually every event they were traveling to had been called off due to Corona Virus Sasa unashangaa kwani per Diem huwa tamu aje ,0.0
69701273,2020-03-22 21:11:23+00:00,00a4bbcc0dcd7572,1241834886064934913,en,We wont let COVID19 keep us from being connected Hope to see your beautiful faces tonight at 7 pm  in the midst of      Texas AampM University ,0.7783
115031064,2020-03-21 06:25:24+00:00,00a4bbcc0dcd7572,1241249532329017344,en,The Brazos County Health District advised today evidence of community spread in Brazos County as has been the case in other areas of Texas This community spread case was not one of the aforementioned Texas AampM cases ,0.0
2363436115,2020-03-21 03:38:03+00:00,00a4bbcc0dcd7572,1241207417297346560,en,This brings the tally to 3 cases of COVID19 in the Texas AampM community The  Office of Safety and Security has notified health authorities and contact tracing had begun ,0.6369
69701273,2020-03-20 22:07:18+00:00,00a4bbcc0dcd7572,1241124180860358658,en,Thinking of all the   who will be adding learned online to the list when classes resume next week Praying for you all  in the time of      Texas AampM University ,0.3612
1323478910,2020-03-20 16:20:53+00:00,00a4bbcc0dcd7572,1241037002235097089,en,Carneys Pub are closing down temporarily due to Covid19 and they are giving away the remaining food today starting at 3 pm till they run out Kindly share it with someone who might be in need  Texas AampM ,0.7783
2894309072,2020-03-20 01:06:42+00:00,9ce0f1d2eb5998ce,1240806942806867976,en,Great first zoom meeting of the  in this  time Special thanks to the profe Montelongo for inviting me in Its great to be amongst raza willing to be there for you Looking forward working with these gentlemen     ,0.9442
73100680,2020-03-19 21:57:27+00:00,00a4bbcc0dcd7572,1240759313783758848,en,Howdy Ags Social Distancing will have a powerful impact on COVID19 Social Distancing IS Selfless Service Live the Aggie Core Values and remember Aggies help Aggies         ,0.802
17974323,2020-03-19 19:48:39+00:00,00a4bbcc0dcd7572,1240726900844134400,en,IMPORTANT UPDATEAt the direction of Governor Abbott amp Texas AampM leadership the Student Recreation Center will be closed effective immediately through Friday April 3Please visit  for our online workout options ,0.6841
42514101,2020-03-19 18:29:09+00:00,c3f37afa9efcf94b,1240706893930098688,en,TexasIf you have been laid off amid COVID19 you canapply for benefits onlineor by calling theTexas Workforce CommissionTWC at 8009396631 from 8 am to 6 pm Monday through Friday long hold times you can use online claim portalUnemployment Benefits Services,0.6369
16621072,2020-03-19 16:42:45+00:00,92ece453327a4d54,1240680119158673409,en,Texas AampM Dental School in Dallas now only open for emergencies But elementary schools businesses etc still open The lack of  and people thinking they can use guns to fight this will make the  look mild   ,-0.7469
936722899725111296,2020-03-19 06:54:53+00:00,00a4bbcc0dcd7572,1240532177932206081,en,    Effectively made that extra week pointless in terms of containing the virus they went to a public beach got as physically close as they could and posted it on the internet they promptly deleted it because someone was smart enough in hindsite of course to realize that was dumb,0.3182
18079569,2020-03-19 01:42:16+00:00,e0060cda70f5f341,1240453504604483588,en,Link Updated Read the latest update from The Texas AampM University System Chancellor John Sharp ,0.0
582100091,2020-03-18 19:55:30+00:00,e0060cda70f5f341,1240366235449274369,en,Do you have questions about novel coronavirus COVID19  has created a page dedicated to sharing timely information that includes universitywide updates reliable resources recommendations and more  ,0.8442
