author id,created_at,geo,id,lang,tweet
17524010,2020-01-28 21:54:41+00:00, ,1222276835641262080,en, Texas AampM University has suspended all student travel and nonessential travel by faculty staff and researchers to China due to the outbreak of coronavirus 
1393146882,2020-01-28 21:49:37+00:00, ,1222275563500507136,en,RT  Texas AampM suspends all travel to China amid coronavirus outbreak 
17094323,2020-01-28 21:46:11+00:00, ,1222274697909407744,en,Texas AampM suspends all travel to China amid coronavirus outbreak 
314614423,2020-01-28 21:45:31+00:00, ,1222274529344405504,en,RT  COLLEGE STATION Texas  Officials at the Brazos County Health District said Thursday they are investigating a suspected ca
539604338,2020-01-28 21:38:06+00:00, ,1222272664880013318,en,CBS Dallas Texas AampM Suspends All Student Travel To China Due To Coronavirus Concerns  
10878852,2020-01-28 21:32:24+00:00, ,1222271230432227328,en,Texas AampM Suspends All Student Travel To China Due To Coronavirus Concerns  
390516222,2020-01-28 21:23:56+00:00, ,1222269099209895938,en,   If u research it theres not any news sources saying anything about coronavirus except for that the CDC will be screening bush Also both Texas cases have tested negative AampM amp Baylor
988136851,2020-01-28 21:22:21+00:00, ,1222268699962462212,en,In Bryan College Station Texas they have a lab there that was built to manufacture mass vaccines in quick time Sold an engineer a house years ago This coronavirus vaccine might just be coming out of Texas soon
390516222,2020-01-28 21:16:25+00:00, ,1222267207444549634,en,Texas AampM student and the Baylor student both tested negative for coronavirus
122107537,2020-01-28 20:28:25+00:00, ,1222255128763404288,en,Seem like one possible case of that virus reported from Texas AampM this one time Im not bouta complain about being stuck in my house 
1070789252106067969,2020-01-28 20:19:48+00:00, ,1222252958903164929,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
1094368012487086080,2020-01-28 19:45:33+00:00, ,1222244341542006784,en,RT  I cant believe I have the privilege of dying from the coronavirus at THE Texas AampM University 
290646391,2020-01-28 19:38:21+00:00, ,1222242530030432259,en,So college station has two cases of the coronavirus 
92057831,2020-01-28 19:32:05+00:00, ,1222240950094893056,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
21959770,2020-01-28 19:19:29+00:00, ,1222237778282524672,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
2478634129,2020-01-28 19:17:51+00:00, ,1222237368322875397,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
908681225467961345,2020-01-28 19:17:39+00:00, ,1222237318934859776,en,RT  We are extremely thankful that results for the TAMU student tested for coronavirus came back negativeLearn more about thi
2798701,2020-01-28 19:10:45+00:00, ,1222235580647583748,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
15279465,2020-01-28 19:09:47+00:00, ,1222235340460699650,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
1220764481581510656,2020-01-28 19:02:20+00:00, ,1222233463756967936,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
872125560,2020-01-28 18:58:36+00:00, ,1222232526237970433,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
16656350,2020-01-28 18:58:19+00:00, ,1222232454066511875,en,RT  JUST IN  will now screen passengers for the  So far all possible Texas cases came back negativ
303930546,2020-01-28 18:57:53+00:00,18810aa5b43e76c7,1222232345807290370,en,JUST IN  will now screen passengers for the  So far all possible Texas cases came back negative from Baylor and Texas AampM  
199836662,2020-01-28 17:00:41+00:00, ,1222202848273948675,en,Two Texas AampM University Students Negative for CoronavirusRead more here  
1735165344,2020-01-28 16:01:34+00:00, ,1222187973468479490,en,   Student tested Negative for  Need instant  PRNPool is the way to go It is less expensive than hiring All HR performed  Joint Commission Gold Seal Approved   Log on now    
1182389490951884807,2020-01-28 15:27:53+00:00, ,1222179496532594689,en,RT  US Officials Flag Over 100 Potential Chinese Virus CasesInfectious disease specialist  Dr Rebecca Fisher explain
3166112083,2020-01-28 15:17:45+00:00, ,1222176947800805376,en,RT  Texas AampM student tests negative for coronavirus  
44700235,2020-01-28 14:20:20+00:00, ,1222162498176065536,en,US Officials Flag Over 100 Potential Chinese Virus CasesInfectious disease specialist  Dr Rebecca Fisher explains who is at most risk for coronavirus amp preventative measures individuals should observe   
797178421,2020-01-28 14:14:18+00:00, ,1222160977749250049,en,RT  UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County H
274252063,2020-01-28 13:12:21+00:00, ,1222145389920428033,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
14142921,2020-01-28 12:12:35+00:00, ,1222130347347009536,en,Texas AampM student tests negative for coronavirus  New York Post  via  
1076699465606676480,2020-01-28 07:57:39+00:00, ,1222066190245400576,en,if this virus reaches UT its fuckin game over im ded 
205635237,2020-01-28 07:46:33+00:00, ,1222063396893282304,en,Texas AampM student tests negative for coronavirus  New York Post  via  
2317528782,2020-01-28 07:42:02+00:00, ,1222062262514376709,en,Texas AampM student tests negative for coronavirus  New York Post 
1029128888,2020-01-28 07:38:33+00:00, ,1222061382423568384,en,Texas AampM student tests negative for coronavirus  New York Post Texas AampM student tests negative for coronavirusNew York Post View full coverage on Google News 
1025186618108530689,2020-01-28 07:19:42+00:00, ,1222056640771514368,en,Texas AampM student tests negative for coronavirus  New YorkPost  
87465101,2020-01-28 06:57:46+00:00, ,1222051119326793728,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
53844102,2020-01-28 06:42:20+00:00, ,1222047235866812417,en,RT  A student at Texas AampM University who recently traveled to Wuhan China has been quarantined after showing symptoms of a dea
134252538,2020-01-28 05:47:14+00:00, ,1222033369476882433,en,RT  Texas AampM student tests negative for coronavirus  
141811966,2020-01-28 05:40:37+00:00, ,1222031704371548161,en,RT  Texas AampM student tests negative for coronavirus  
243540386,2020-01-28 05:15:39+00:00, ,1222025422755389440,en,RT  Texas AampM student tests negative for coronavirus  
306933529,2020-01-28 05:05:19+00:00, ,1222022820181483520,en,RT  NEW Baylor Student tested does NOT have the coronavirus Yesterday the CDC confirmed a Texas AampM student does NOT have
942240917771059200,2020-01-28 05:04:24+00:00, ,1222022590937460736,en,RT  Texas AampM student tests negative for coronavirus  
825911617766428673,2020-01-28 05:02:10+00:00, ,1222022027315273729,en,RT  Texas AampM student tests negative for coronavirus  
17469289,2020-01-28 05:01:05+00:00, ,1222021758242390025,en,Texas AampM student tests negative for coronavirus  
59942751,2020-01-28 04:07:47+00:00, ,1222008341221691392,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
827577230788136960,2020-01-28 04:03:20+00:00, ,1222007223108456448,en,US testing 12 patients for coronavirus including Texas AampM student  via 
119921332,2020-01-28 03:44:26+00:00, ,1222002465366781952,en,   I hope you and all the staff that toture dogs in your lab killing dogs get the virus
42927744,2020-01-28 03:39:31+00:00, ,1222001228298715136,en,Texas AampM student tests negative for coronavirus  New York Post   via 
170803700,2020-01-28 03:34:01+00:00, ,1221999846770520066,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
786277726923530240,2020-01-28 03:33:04+00:00, ,1221999605203832832,en,RT  UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County H
352849250,2020-01-28 03:33:03+00:00, ,1221999600375975936,en,Coronavirus not found in test results of sick college students from Baylor Texas AampM  Fort Worth StarTelegram  
405038422,2020-01-28 03:01:00+00:00, ,1221991536847675393,en,Texas AampM student tests negative for coronavirus  New York Post CAIiELRcjHDKI3cmpRLbj9omgqGAgEKg8IACoHCAowhKLAjD4ySww9S0BQ
1098096604475740160,2020-01-28 02:55:50+00:00, ,1221990236919619584,en,RT  I cant believe I have the privilege of dying from the coronavirus at THE Texas AampM University 
